0	1	135
0	2	290
0	3	142
1	0	135
1	2	176
1	11	313
2	0	290
2	1	176
2	5	152
3	0	142
3	4	157
3	5	267
4	3	157
4	7	143
4	24	110
4	26	263
5	2	152
5	3	267
5	8	114
5	9	102
5	11	111
6	7	52
6	8	89
6	19	138
6	24	110
7	4	143
7	6	52
7	8	99
8	5	114
8	6	89
8	7	99
8	9	107
8	17	194
9	5	102
9	8	107
9	10	114
9	15	126
10	9	114
10	11	101
10	12	154
10	15	142
11	1	313
11	5	111
11	10	101
12	10	154
12	13	214
12	14	145
12	15	133
13	12	214
13	14	84
13	16	193
14	12	145
14	13	84
14	16	133
15	9	126
15	10	142
15	12	133
15	16	129
16	13	193
16	14	133
16	15	129
16	17	140
16	18	154
17	8	194
17	16	140
17	18	81
17	19	129
18	16	154
18	17	81
18	19	142
18	20	102
19	6	138
19	17	129
19	18	142
19	20	137
19	25	156
20	18	102
20	19	137
20	21	119
21	20	119
21	22	130
21	23	141
22	21	130
22	23	152
22	25	92
22	27	114
23	21	141
23	22	152
23	29	224
24	4	110
24	6	110
24	25	156
24	26	226
24	27	223
25	19	156
25	22	92
25	24	156
26	4	263
26	24	226
26	27	197
26	28	155
27	22	114
27	24	223
27	26	197
27	28	125
27	29	156
28	26	155
28	27	125
28	29	129
29	23	224
29	27	156
29	28	129
